"ISO-8601 date","Total visitor count"
2025-07-12T16:05:14+10:00,3900
2025-07-12T17:32:04+10:00,4020
2025-07-13T02:33:13Z,4179
2025-07-14T02:28:51Z,4316
2025-07-15T01:14:21Z,4480
2025-07-16T02:24:45Z,4671
2025-07-17T02:25:22Z,4877
2025-07-18T02:26:53Z,5036
2025-07-19T02:20:46Z,5190
2025-07-20T02:36:07Z,5309
2025-07-21T02:32:35Z,5419
2025-07-22T02:26:22Z,5610
2025-07-23T02:27:31Z,5773
2025-07-24T02:26:36Z,5856
2025-07-25T02:26:29Z,5978
2025-07-26T02:22:25Z,6064
2025-07-27T02:37:24Z,6161
2025-07-28T02:33:25Z,6276
2025-07-29T02:38:30Z,6358
2025-07-30T02:30:10Z,6474
2025-07-31T02:28:50Z,6620
2025-08-01T02:41:02Z,6760
2025-08-02T02:23:16Z,6883
2025-08-03T02:39:39Z,7001
2025-08-04T02:39:09Z,7115
2025-08-05T02:32:18Z,7221
2025-08-06T02:30:25Z,7329
2025-08-07T02:30:36Z,7470
2025-08-08T02:30:30Z,7571
2025-08-09T02:18:30Z,7677
2025-08-10T02:34:47Z,7775
2025-08-11T02:30:25Z,7899
2025-08-12T02:17:27Z,7996
2025-08-13T02:19:23Z,8084
2025-08-14T02:20:11Z,8204
2025-08-15T02:20:55Z,8303
2025-08-16T02:08:42Z,8439
2025-08-17T02:26:14Z,8587
2025-08-18T02:27:10Z,8692
2025-08-19T02:07:21Z,8808
2025-08-20T02:05:15Z,8915
2025-08-21T02:03:54Z,9078
2025-08-22T02:04:48Z,9183
2025-08-23T02:00:22Z,9269
2025-08-24T02:21:29Z,9390
2025-08-25T02:09:48Z,9488
2025-08-26T02:05:51Z,9602
2025-08-27T02:01:45Z,9729
2025-08-28T02:00:52Z,9845
2025-08-29T02:00:59Z,9943
2025-08-30T01:55:06Z,10035
2025-08-31T02:06:55Z,10125
2025-09-01T02:23:42Z,10221
2025-09-02T02:03:09Z,10320
2025-09-03T01:54:50Z,10413
2025-09-04T01:55:21Z,10506
2025-09-05T01:58:03Z,10593
2025-09-06T01:55:05Z,10696
2025-09-07T02:04:14Z,10784
2025-09-08T02:04:09Z,10872
2025-09-09T01:59:57Z,10979
2025-09-10T01:55:53Z,11112
2025-09-11T01:59:10Z,11237
2025-09-12T01:54:35Z,11333
2025-09-13T01:50:17Z,11425
2025-09-14T02:03:38Z,11529
2025-09-15T02:05:18Z,11615
2025-09-16T01:56:01Z,11723
